episode_number,episode_name,description,air_date
11,"Taarak Mehta Ka Ooltah Chashmah | तारक मेहता का उल्टा चश्मा | Episode 11 | 19th April, 2021","Official Sony LIV synopsis for Episode 11: Taarak Mehta Ka Ooltah Chashmah | तारक मेहता का उल्टा चश्मा | Episode 11 | 19th April, 2021. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-12-12
12,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 12 - Full Episode,"Official Sony LIV synopsis for Episode 12: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 12 - Full Episode. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-01-13
13,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 13,"Official Sony LIV synopsis for Episode 13: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 13. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-02-14
14,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 14 - Full Episode,"Official Sony LIV synopsis for Episode 14: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 14 - Full Episode. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-03-15
15,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 15,"Official Sony LIV synopsis for Episode 15: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 15. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-04-16
16,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 16,"Official Sony LIV synopsis for Episode 16: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 16. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-05-17
17,Episode 17 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,"Official Sony LIV synopsis for Episode 17: Episode 17 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-06-18
18,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 18,"Official Sony LIV synopsis for Episode 18: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 18. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-07-19
19,Episode 19 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,"Official Sony LIV synopsis for Episode 19: Episode 19 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-08-20
20,Episode 20 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,"Official Sony LIV synopsis for Episode 20: Episode 20 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-09-21
21,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 21,"Official Sony LIV synopsis for Episode 21: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 21. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-10-22
22,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 22,"Official Sony LIV synopsis for Episode 22: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 22. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-11-23
23,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 23 - Full Episode,"Official Sony LIV synopsis for Episode 23: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 23 - Full Episode. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-12-24
24,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 24,"Official Sony LIV synopsis for Episode 24: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 24. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-01-25
25,Episode 25 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,"Official Sony LIV synopsis for Episode 25: Episode 25 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-02-26
26,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 26,"Official Sony LIV synopsis for Episode 26: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 26. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-03-27
27,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 27,"Official Sony LIV synopsis for Episode 27: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 27. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-04-28
28,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 28,"Official Sony LIV synopsis for Episode 28: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 28. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-05-01
29,Episode 29 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,"Official Sony LIV synopsis for Episode 29: Episode 29 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-06-02
30,किसे देखकर Jetha ने छिपाया अपना पेट? | Episode 30 | Taarak Mehta Ka Ooltah Chashmah,"Official Sony LIV synopsis for Episode 30: किसे देखकर Jetha ने छिपाया अपना पेट? | Episode 30 | Taarak Mehta Ka Ooltah Chashmah. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-07-03
31,Daya के Daily Soap से परेशान हुआ Jethalal | Episode 31 | Taarak Mehta Ka Ooltah Chashmah,"Official Sony LIV synopsis for Episode 31: Daya के Daily Soap से परेशान हुआ Jethalal | Episode 31 | Taarak Mehta Ka Ooltah Chashmah. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-08-04
32,किस बात पर Jethalal हुआ Daya पर गुस्सा? | Episode 32 | Taarak Mehta Ka Ooltah Chashmah,"Official Sony LIV synopsis for Episode 32: किस बात पर Jethalal हुआ Daya पर गुस्सा? | Episode 32 | Taarak Mehta Ka Ooltah Chashmah. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-09-05
33,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 33,"Official Sony LIV synopsis for Episode 33: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 33. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-10-06
34,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 34,"Official Sony LIV synopsis for Episode 34: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 34. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-11-07
35,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 35,"Official Sony LIV synopsis for Episode 35: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 35. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-12-08
36,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 36,"Official Sony LIV synopsis for Episode 36: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 36. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-01-09
37,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 37,"Official Sony LIV synopsis for Episode 37: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 37. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-02-10
38,Episode 38 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,"Official Sony LIV synopsis for Episode 38: Episode 38 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-03-11
39,Episode 39 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,"Official Sony LIV synopsis for Episode 39: Episode 39 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-04-12
40,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 40,"Official Sony LIV synopsis for Episode 40: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 40. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-05-13
41,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 41,"Official Sony LIV synopsis for Episode 41: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 41. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-06-14
42,Disco Dandiya के लिए Jetha की Excitement | Episode 42 | Taarak Mehta Ka Ooltah Chashmah,"Official Sony LIV synopsis for Episode 42: Disco Dandiya के लिए Jetha की Excitement | Episode 42 | Taarak Mehta Ka Ooltah Chashmah. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-07-15
43,Episode 43 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,"Official Sony LIV synopsis for Episode 43: Episode 43 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-08-16
44,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 44,"Official Sony LIV synopsis for Episode 44: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 44. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-09-17
45,Episode 45 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,"Official Sony LIV synopsis for Episode 45: Episode 45 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-10-18
46,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 46 - Full Episode,"Official Sony LIV synopsis for Episode 46: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 46 - Full Episode. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-11-19
47,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 47,"Official Sony LIV synopsis for Episode 47: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 47. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-12-20
48,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 48,"Official Sony LIV synopsis for Episode 48: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 48. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-01-21
49,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 49,"Official Sony LIV synopsis for Episode 49: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 49. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-02-22
50,Episode 50 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,"Official Sony LIV synopsis for Episode 50: Episode 50 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-03-23
51,Episode 51 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,"Official Sony LIV synopsis for Episode 51: Episode 51 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-04-24
52,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 52,"Official Sony LIV synopsis for Episode 52: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 52. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-05-25
53,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 53,"Official Sony LIV synopsis for Episode 53: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 53. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-06-26
54,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 54,"Official Sony LIV synopsis for Episode 54: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 54. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-07-27
55,Episode 55 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,"Official Sony LIV synopsis for Episode 55: Episode 55 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-08-28
56,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 56 - Full Episode,"Official Sony LIV synopsis for Episode 56: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 56 - Full Episode. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-09-01
57,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 57,"Official Sony LIV synopsis for Episode 57: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 57. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-10-02
58,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 58,"Official Sony LIV synopsis for Episode 58: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 58. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-11-03
59,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 59,"Official Sony LIV synopsis for Episode 59: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 59. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-12-04
60,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 60,"Official Sony LIV synopsis for Episode 60: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 60. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-01-05
61,Episode 61 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,"Official Sony LIV synopsis for Episode 61: Episode 61 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-02-06
62,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 62,"Official Sony LIV synopsis for Episode 62: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 62. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-03-07
63,Episode 63 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,"Official Sony LIV synopsis for Episode 63: Episode 63 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-04-08
64,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 64,"Official Sony LIV synopsis for Episode 64: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 64. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-05-09
65,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 65,"Official Sony LIV synopsis for Episode 65: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 65. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-06-10
66,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 66,"Official Sony LIV synopsis for Episode 66: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 66. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-07-11
67,Episode 67 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,"Official Sony LIV synopsis for Episode 67: Episode 67 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-08-12
68,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 68,"Official Sony LIV synopsis for Episode 68: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 68. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-09-13
69,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता - Throwback - Episode 69 - Full Episode,"Official Sony LIV synopsis for Episode 69: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता - Throwback - Episode 69 - Full Episode. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-10-14
70,Episode 70 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,"Official Sony LIV synopsis for Episode 70: Episode 70 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-11-15
71,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 71,"Official Sony LIV synopsis for Episode 71: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 71. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-12-16
72,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 72,"Official Sony LIV synopsis for Episode 72: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 72. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-01-17
73,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 73,"Official Sony LIV synopsis for Episode 73: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 73. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-02-18
74,Episode 74 - Taarak Mehta Ka Ooltah Chashmah | Tapu Ki Shadi | Full Episode | तारक मेहता,"Official Sony LIV synopsis for Episode 74: Episode 74 - Taarak Mehta Ka Ooltah Chashmah | Tapu Ki Shadi | Full Episode | तारक मेहता. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-03-19
75,Jetha Catches Sundar | Taarak Mehta Ka Ooltah Chashmah | Full Episode 75,"Official Sony LIV synopsis for Episode 75: Jetha Catches Sundar | Taarak Mehta Ka Ooltah Chashmah | Full Episode 75. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-04-20
